station_name,address,lat,lon,total_bike,available_bike,location,nowdate
한성대입구역6번출구 뒤,서울특별시 성북구 동소문로 1 한성대입구역6번출구 뒤,37.588764,127.006310,5,6,서울,201804261939
돈암초교 입구,서울특별시 성북구 동소문로13길 38 돈암초교,37.591694,127.012497,10,11,서울,201804261939
만해공원,서울특별시 성북구 성북로 132-1 만해공원,37.594402,126.992310,15,7,서울,201804261939
성북구청,서울특별시 성북구 보문로 168 성북구청,37.589329,127.016434,10,3,서울,201804261939
한성대입구역2번출구,서울특별시 성북구 동소문로 2 성북구 동소문동2가 2-3,37.588448,127.006706,10,7,서울,201804261939
안암로터리 버스정류장 앞,서울특별시 성북구 안암로 69 안암로터리 버스정류장,37.582592,127.028976,10,1,서울,201804261939
증산2교,서울특별시 서대문구 증가로 264 북가좌동354-4,37.584171,126.911102,23,17,서울,201804261939
정릉현대힐스테이트 1차 후문,서울특별시 성북구 정릉로27가길 28-2 성북구 정릉동 138-15,37.603249,127.014648,10,5,서울,201804261939
정릉꿈에그린1단지 201동 앞,서울특별시 성북구 아리랑로19길 20 성북구 정릉동 966-62,37.602440,127.011688,10,12,서울,201804261939
고려사대부속중고 정문,서울특별시 성북구 보국문로29길 23 성북구 정릉동 966-1,37.607761,127.003281,10,1,서울,201804261939
고려사대부속중고 건너편,서울특별시 성북구 보국문로29길 23 성북구 정릉동 966-1,37.607262,127.002838,20,11,서울,201804261939
정릉동 교통광장,서울특별시 성북구 솔샘로17길 8 정릉동 746-2,37.612774,127.006531,10,5,서울,201804261939
길음역 3번출구 뒤,서울특별시 성북구 동소문로 248 동소문로248,37.603085,127.024788,10,4,서울,201804261939
종암사거리 분수대,서울특별시 성북구 종암로 147 성북구 하월곡동 104-134,37.603043,127.033272,10,7,서울,201804261939
창천문화공원,서울특별시 서대문구 연세로5나길 19 53-47,37.556789,126.935883,15,8,서울,201804261939
종암 농협지점 앞,서울특별시 성북구 종암로 88 성북구 종암동 15-7,37.598270,127.035027,10,12,서울,201804261939
국민은행 종암동지점 앞,서울특별시 성북구 종암로3길 37-2 성북구 종암동 12-33,37.593288,127.036667,15,1,서울,201804261939
래미안라센트아파트 103동 앞,서울특별시 성북구 종암로3길 37-2 성북구 종암동 12-33,37.598068,127.039276,10,5,서울,201804261939
월곡역 입구 육교 밑,서울특별시 성북구 월곡로 지하 107 성북구 종암동 113-10,37.600433,127.040207,10,5,서울,201804261939
상월곡역 4번출구,서울특별시 성북구 화랑로 148 성북구 상월곡동 산7-1,37.605808,127.047737,10,5,서울,201804261939
상월곡역 1번출구,서울특별시 성북구 화랑로 지하 157 성북구 상월곡동 35-9,37.606068,127.047318,10,4,서울,201804261939
상월곡역 3번출구,서울특별시 성북구 화랑로 지하 157 성북구 상월곡동 26-1,37.607342,127.050682,10,5,서울,201804261939
월곡역 3번출구,서울특별시 성북구 월곡로 지하 107 성북구 하월곡동 37-4,37.602627,127.041634,10,20,서울,201804261939
