acinum,year,loc1,loc2,time02,time04,time06,time08,time10,time12,time14,time16,time18,time20,time22,22~24
326,2008,경기,가평군,,,,1,,2,2,4,3,5,2,
327,2008,경기,양평군,,,,2,1,2,3,5,2,1,1,1
328,2008,경기,이천시,,1,2,,2,,,5,4,2,2,
329,2008,경기,용인시,1,,,6,9,6,10,5,7,7,10,3
330,2008,경기,안성시,,,,3,1,2,3,1,5,6,,1
331,2008,경기,김포시,,,,3,2,5,2,5,8,5,1,3
332,2008,경기,동두천시,1,,,,2,3,4,9,9,7,1,
333,2008,경기,과천시,,,,1,2,,1,2,2,,,1
334,2008,경기,군포시,,,,1,3,3,1,4,4,6,6,2
335,2008,경기,남양주시,,1,2,3,3,7,9,4,8,6,4,3
336,2008,경기,오산시,1,,,3,3,1,3,4,7,3,2,4
337,2008,경기,의왕시,,,2,,2,,,2,1,1,3,1
338,2008,경기,하남시,,,1,3,7,2,6,3,6,5,6,5
339,2008,강원,춘천시,1,,2,6,7,13,11,22,13,10,8,1
340,2008,강원,원주시,4,1,2,8,8,8,13,14,17,17,9,2
341,2008,강원,동해시,,,,,1,2,2,2,4,5,3,
342,2008,강원,강릉시,,,1,2,2,3,5,12,9,9,6,3
343,2008,강원,속초시,,,,2,4,1,,3,4,2,3,1
344,2008,강원,태백시,,,,1,1,1,1,,,4,,
345,2008,강원,삼척시,,,2,,1,3,3,7,5,5,1,2
346,2008,강원,홍천군,,,1,,4,2,1,3,4,5,1,
347,2008,강원,횡성군,1,,,2,,,1,1,2,,1,
348,2008,강원,영월군,,,,3,,,,2,1,,1,
349,2008,강원,평창군,,,,,1,,2,2,3,2,,
350,2008,강원,정선군,,,,,2,,,,2,,,
351,2008,강원,철원군,,,,,1,2,,,1,1,2,2
352,2008,강원,화천군,,,,,,,,,1,,,
353,2008,강원,양구군,,,,,,1,,2,,,,
354,2008,강원,인제군,,,,,,,,,1,,,
355,2008,강원,고성군,,,1,,2,1,1,,3,,,
356,2008,강원,양양군,,,1,,1,,,,2,,,
357,2008,충북,청주시,3,1,7,18,34,27,16,49,32,39,29,10
358,2008,충북,충주시,1,,1,4,11,11,5,11,6,12,8,1
359,2008,충북,제천시,,,,2,4,2,3,4,3,3,1,
360,2008,충북,청원군,,,,4,5,7,1,8,6,6,2,3
361,2008,충북,보은군,1,,,1,2,1,2,1,2,6,1,
362,2008,충북,옥천군,,,1,1,1,,,2,3,2,1,
363,2008,충북,영동군,,,,1,1,2,,3,6,3,2,1
364,2008,충북,진천군,,,,,,1,3,1,3,6,2,1
365,2008,충북,괴산군,1,,,,,,1,1,2,1,,
366,2008,충북,음성군,,,,1,2,3,,1,1,3,2,
367,2008,충북,단양군,,,,,,,,,1,,,
368,2008,충북,증평군,,,,1,3,,,1,2,2,,
